name,order,trigger,invocationService,invocationAction,rollbackService,rollbackAction,_id,status,error,rollbackError,saga_instance_id
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,182928e2-d2f0-472b-8399-081e81ad3a24,COMPLETED,,,6480929d49444edb740f7ea2
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,74d3f1a4-6bee-43b3-aec5-a86d8e882c77,COMPLETED,,,648304f01fb308b8c4b08738
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,5a72f21d-b5b1-469e-92b0-acd89cd169f3,COMPLETED,,,64830ca049444edb740f7ea4
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,b765894d-b0e1-4564-af0a-d2b87572fdc7,COMPLETED,,,64830e0e49444edb740f7ea6
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,a8b76162-a874-4b7f-90dc-63731c7e00be,COMPLETED,,,64870eea1fb308b8c4b0873c
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,aa2adca5-c3eb-4359-b1a8-2f866028a844,COMPLETED,,,648721571fb308b8c4b0873e
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,a6f83b6a-91cb-4a8f-834b-f1c23896055f,COMPLETED,,,648722b81fb308b8c4b08740
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,11e9a09f-87d2-431e-ab55-0d0bec046b6a,COMPLETED,,,6487281949444edb740f7eaa
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,dd619b81-4cd3-4e6a-8f5b-251410653fce,FAILED,,,64873a0b8f10167516d599bf
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,548d87bd-d233-468a-b647-c745598fd4df,PENDING,,,64873a978f10167516d599c1
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,23eefb77-9409-4427-a6f9-62f0765c4ddc,PENDING,,,648740691286af70d2baecf8
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,ffe4e58b-3a87-4787-8702-d3a0c47e1461,PENDING,,,6487445080d0a0f9419b7d75
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,91ddcfb1-97b4-4c77-98ec-7a18df6cd5d9,COMPLETED,,,64874531d997fc38c8b9f402
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,a005192a-d9b1-4bc8-9060-d03abe9f4c26,COMPLETED,,,6487492dd997fc38c8b9f404
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,d96347ab-6fbb-4bd4-a769-26dd81ddbb45,COMPLETED,,,64874a0180d0a0f9419b7d77
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,e1681518-2b7c-4d5a-9ac3-9d3520b0604f,COMPLETED,,,64882a1880d0a0f9419b7d79
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,64acbdca-d4b4-4e9a-b0ac-e11dbf6f1f25,FAILED,,,64886ba480d0a0f9419b7d7b
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,ccd5ac9f-dad0-45b8-9c85-507a6427d58f,PENDING,,,64886e25d997fc38c8b9f406
